projectName, Java Files,LOC,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
33_javaviewcontrol,17,4617,99,100,100,100,100,100,86.86868,1.010101,88.88889,0,1.010101,86.86868,0,12.121212,86.86868,0
34_sbmlreader2,6,498,3,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
35_corina,349,41290,230,95.21739,97.391304,94.78261,93.04348,90.86956,83.04348,74.347824,83.04348,70.86957,74.347824,83.04348,3.9130435,78.26087,13.478261,3.9130435
36_schemaspy,72,9974,29,96.55172,100,96.55172,96.55172,93.10345,86.206894,51.724136,65.51724,44.827587,51.724136,86.206894,3.4482758,58.62069,37.931034,3.4482758
37_petsoar,76,2255,2,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
38_javabullboard,44,8295,43,48.837208,65.11628,100,44.186047,48.837208,88.37209,60.465115,90.69768,34.88372,60.465115,88.37209,0,88.37209,6.9767447,0
39_diffi,10,524,1,100,100,100,100,100,0,0,100,0,0,0,100,0,0,100
40_glengineer,35,2990,36,86.11111,83.33333,97.22222,69.44444,83.33333,91.66667,50,91.66667,33.333336,50,91.66667,0,55.555557,44.444447,0
41_follow,60,4812,8,100,75,87.5,75,87.5,87.5,87.5,87.5,87.5,87.5,87.5,0,75,25,0
42_asphodel,24,691,3,100,0,0,0,0,100,100,100,100,100,100,0,100,0,0
43_lilith,295,46188,5364,40.137955,80.853836,93.82923,31.655481,34.04176,99.64579,84.69426,85.7569,78.0947,84.69426,99.64579,0.074571215,93.54959,6.0402684,0.074571215
44_summa,584,69314,196,74.4898,86.22449,96.42857,63.77551,70.918365,73.97959,75,81.63265,67.34694,75,73.97959,1.0204082,75.5102,14.285715,1.0204082
46_nutzenportfolio,84,8268,181,99.44751,92.81768,98.342545,92.2652,97.790054,71.27071,70.71823,82.872925,70.71823,70.71823,71.27071,0,90.05525,9.944751,0
47_dvd-homevideo,9,2911,25,68,60.000004,60.000004,40,40,100,16,68,12,16,100,0,4,96,0
48_resources4j,14,1242,8,0,100,100,0,0,100,100,100,87.5,100,100,0,100,0,0
49_diebierse,20,1888,23,95.652176,100,100,95.652176,95.652176,26.086956,0,21.73913,0,0,26.086956,0,100,0,0
50_biff,3,2097,11,90.909096,100,100,90.909096,90.909096,100,36.363636,100,27.272728,36.363636,100,0,0,100,0
51_jiprof,113,13950,26,96.15385,73.07692,84.61539,73.07692,80.769226,80.769226,73.07692,92.30769,69.230774,73.07692,80.769226,0,73.07692,7.692308,0
52_lagoon,81,9954,85,98.82353,98.82353,97.64706,97.64706,96.47059,82.35294,72.94118,81.17647,70.588234,72.94118,82.35294,0,70.588234,11.764706,0
53_shp2kml,4,266,1,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0
54_db-everywhere,104,7125,383,95.561356,99.477806,99.7389,95.561356,95.561356,91.12272,47.780678,91.644905,46.73629,47.780678,91.12272,0,100,0,0
55_lavalamp,54,1474,2,100,100,100,100,100,100,100,100,50,100,100,0,50,50,0
56_jhandballmoves,73,5345,19,100,94.73685,94.73685,94.73685,94.73685,100,94.73685,94.73685,89.47369,94.73685,100,0,100,0,0
57_hft-bomberman,135,8397,16,100,68.75,68.75,68.75,68.75,62.5,31.25,56.25,18.75,31.25,62.5,0,87.5,12.5,0
58_fps370,8,1506,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
59_mygrid,37,3317,1607,52.893593,98.25762,98.25762,52.893593,52.893593,52.95582,52.95582,98.444305,52.95582,52.95582,52.95582,0,100,0,0
60_sugar,37,3120,40,100,100,100,100,100,15.000001,7.5000005,50,2.5,7.5000005,15.000001,0,100,0,0
61_noen,408,18867,135,81.48148,95.55556,97.03703,77.77778,79.25926,89.62963,80,94.07407,77.77778,80,89.62963,0,94.81481,2.9629629,0
62_dom4j,173,18209,388,97.93814,63.40206,65.97938,62.113403,64.17526,72.16495,67.26804,71.391754,63.917522,67.26804,72.16495,0,94.07217,0.25773194,0
63_objectexplorer,88,6988,76,98.68421,96.05263,96.05263,94.73685,94.73685,89.47369,32.894737,77.631584,26.31579,32.894737,89.47369,0,80.26315,19.736843,0
64_jtailgui,44,2020,59,100,54.23729,100,54.23729,100,98.305084,98.305084,98.305084,96.61017,98.305084,98.305084,0,100,0,0
65_gsftp,17,2327,5,100,100,100,100,100,100,80,100,40,80,100,0,60.000004,40,0
66_openjms,624,54879,12840,98.05296,98.27882,98.52804,96.892525,97.08723,96.74455,95.89564,97.35203,95.28816,95.89564,96.74455,0.007788162,99.439255,0.2647975,0.007788162
68_biblestudy,21,2265,10,20,80,80,0,0,40,90,90,50,90,40,0,100,0,0
69_lhamacaw,108,22750,708,86.016945,37.42938,93.92655,24.435028,79.943504,63.135593,15.254237,42.514126,12.4293785,15.254237,63.135593,4.519774,85.169495,10.169491,4.519774
70_echodep,81,15396,125,92,88,92,81.6,88,95.200005,53.600002,84,52.8,53.600002,95.200005,1.6,32.8,37.6,1.6
71_ext4j,45,1892,7,85.71429,85.71429,100,85.71429,85.71429,100,71.42857,100,71.42857,71.42857,100,0,71.42857,14.285715,0
72_battlecry,11,2522,3,100,100,100,100,100,66.66667,66.66667,66.66667,33.333336,66.66667,66.66667,0,100,0,0
73_fim1,70,10294,73,87.671234,87.671234,89.0411,82.19178,83.56164,89.0411,35.61644,78.08219,21.917809,35.61644,89.0411,0,52.054794,47.945206,0
74_fixsuite,25,2665,35,100,100,100,100,100,97.14286,97.14286,97.14286,97.14286,97.14286,97.14286,2.857143,91.42857,5.714286,2.857143
75_openhre,135,8355,125,72.799995,81.6,96,54.4,68.8,86.4,67.2,83.200005,66.399994,67.2,86.4,0,82.4,17.6,0
77_io-project,19,698,10,100,40,60.000004,40,60.000004,50,30.000002,30.000002,0,30.000002,50,0,70,0,0
78_caloriecount,684,61542,589,91.341255,87.09677,93.88794,78.94737,85.73854,87.09677,66.21392,81.83362,60.780983,66.21392,87.09677,2.2071307,85.56876,1.5280136,2.2071307
79_twfbplayer,104,7240,18,100,100,83.33333,100,83.33333,77.77778,16.666668,72.22222,11.111112,16.666668,77.77778,16.666668,38.88889,27.777779,16.666668
80_wheelwebtool,113,16275,145,77.93104,89.655174,95.86207,70.34483,73.7931,74.48276,68.27586,77.24138,65.51724,68.27586,74.48276,0,94.48276,0.6896552,0
81_javathena,53,10492,35,74.28571,68.571434,74.28571,42.857143,48.57143,94.28571,74.28571,94.28571,71.42857,74.28571,94.28571,0,94.28571,2.857143,0
82_ipcalculator,10,2684,27,100,100,100,100,100,100,100,100,100,100,100,0,11.111112,88.88889,0
83_xbus,203,23507,88,82.954544,92.045456,94.318184,79.545456,78.409096,73.86364,60.227276,72.72727,45.454548,60.227276,73.86364,7.9545455,59.090908,27.272728,7.9545455
85_shop,34,3886,36,97.22222,94.44444,94.44444,94.44444,91.66667,63.88889,36.11111,69.44444,36.11111,36.11111,63.88889,0,91.66667,0,0
86_at-robots2-j,231,9459,26,69.230774,100,100,69.230774,69.230774,38.46154,65.38461,65.38461,34.615387,65.38461,38.46154,0,96.15385,0,0
87_jaw-br,30,4851,15,93.333336,86.666664,93.333336,80,86.666664,100,33.333336,100,20,33.333336,100,0,33.333336,66.66667,0
88_jopenchart,48,3996,34,97.05882,88.2353,88.2353,85.29411,85.29411,100,44.11765,100,35.294117,44.11765,100,0,100,0,0
89_jiggler,184,20072,1550,67.61291,62.258064,79.16129,51.419353,57.741936,73.09678,69.935486,79.29032,67.09678,69.935486,73.09678,0.32258064,58.903225,1.0967742,0.32258064
91_classviewer,7,1467,4,100,75,75,75,75,100,100,100,100,100,100,0,75,25,0
92_jcvi-javacommon,619,45495,843,84.46026,90.98457,97.27165,76.98695,81.85053,97.0344,94.42467,97.27165,93.59431,94.42467,97.0344,0.23724793,89.323845,8.066429,0.23724793
93_quickserver,152,16040,65,96.92308,83.07693,90.76923,81.53846,87.69231,95.38461,67.69231,96.92308,52.307693,67.69231,95.38461,3.0769231,75.38461,10.769231,3.0769231
95_celwars2009,11,2876,4,100,100,100,100,100,100,100,100,100,100,100,0,25,25,0
96_heal,184,22521,107,88.78505,94.392525,95.3271,83.177574,84.11215,84.11215,47.66355,76.63551,42.056076,47.66355,84.11215,0,78.50468,21.495327,0
97_feudalismgame,36,3515,18,100,94.44444,94.44444,94.44444,94.44444,50,16.666668,94.44444,16.666668,16.666668,50,0,100,0,0
99_newzgrabber,39,5868,4,100,100,100,100,100,100,50,100,50,50,100,0,100,0,0
100_jgaap,17,1009,1,100,100,100,100,100,0,100,100,100,100,0,0,100,0,0
101_netweaver,204,24380,13969,48.37139,99.14095,97.82375,47.60541,47.798695,49.38077,47.19021,94.80994,47.118618,47.19021,49.38077,0,99.89978,0.071587086,0
102_squirrel-sql,1151,122843,4594,83.717896,93.73096,99.21637,80.53983,83.02133,96.843704,67.93644,78.53722,65.69439,67.93644,96.843704,0.26121026,94.20984,3.9834566,0.26121026
